Project,CVE,File,Function,Patch commit,Ex-patch commit
openssl,CVE-2014-3572,ssl/s3_clnt.c,ssl3_get_key_exchange,https://github.com/openssl/openssl/commit/b15f8769644b00ef7283521593360b7b2135cb63,https://github.com/openssl/openssl/commit/b5526482ef81ee7906b967e326d23a45fbcf3abc
openssl,CVE-2015-0205,ssl/s3_srvr.c,ssl3_get_cert_verify,https://github.com/openssl/openssl/commit/1421e0c584ae9120ca1b88098f13d6d2e90b83a3,https://github.com/openssl/openssl/commit/a7a44ba55cb4f884c6bc9ceac90072dea38e66d0
openssl,CVE-2015-0207,ssl/d1_lib.c,dtls1_listen,https://github.com/openssl/openssl/commit/e83ee04bb7de800cdb71d522fa562e99328003a3,https://github.com/openssl/openssl/commit/1d2a18dc5a3b3363e17db5af8b6b0273856ac077
openssl,CVE-2015-0208,crypto/rsa/rsa_ameth.c,rsa_item_verify,https://github.com/openssl/openssl/commit/09f06923e636019c39c807cb59c481375e720556,https://github.com/openssl/openssl/commit/1d2a18dc5a3b3363e17db5af8b6b0273856ac077
openssl,CVE-2015-0209,crypto/ec/ec_asn1.c,*d2i_ECPrivateKey,https://github.com/openssl/openssl/commit/9e442d485008046933cdc7da65080f436a4af089,https://github.com/openssl/openssl/commit/71ea6b4836a9ec40857f295e7cd00e04edc17e47
openssl,CVE-2015-0285,ssl/s3_clnt.c,ssl3_client_hello,https://github.com/openssl/openssl/commit/e1b568dd2462f7cacf98f3d117936c34e2849a6b,https://github.com/openssl/openssl/commit/0b142f022e2c5072295e00ebc11c5b707a726d74
openssl,CVE-2015-0286,crypto/asn1/a_type.c,ASN1_TYPE_cmp,https://github.com/openssl/openssl/commit/e677e8d13595f7b3287f8feef7676feb301b0e8a,https://github.com/openssl/openssl/commit/d3cc5e610d1719a35cda52c9152134b490a8c944
openssl,CVE-2015-0287,crypto/asn1/tasn_dec.c,ASN1_item_ex_d2i,https://github.com/openssl/openssl/commit/8106d61c354430d6bbbd7f8e7840a39efc0f5829,https://github.com/openssl/openssl/commit/e83ee04bb7de800cdb71d522fa562e99328003a3
openssl,CVE-2015-0288,crypto/x509/x509_req.c,*X509_to_X509_REQ,https://github.com/openssl/openssl/commit/28a00bcd8e318da18031b2ac8778c64147cd54f9,https://github.com/openssl/openssl/commit/437b14b533fe7f7408e3ebca6d5569f1d3347b1a
openssl,CVE-2015-0290,ssl/s3_pkt.c,ssl3_write_bytes,https://github.com/openssl/openssl/commit/1d2a18dc5a3b3363e17db5af8b6b0273856ac077,https://github.com/openssl/openssl/commit/7ead0c89185c46378e3ed85c0012d083f4b3039b
openssl,CVE-2015-1787,ssl/s3_srvr.c,ssl3_get_client_key_exchange,https://github.com/openssl/openssl/commit/d3cc5e610d1719a35cda52c9152134b490a8c944,https://github.com/openssl/openssl/commit/d3cc5e610d1719a35cda52c9152134b490a8c944
openssl,CVE-2015-1789,crypto/x509/x509_vfy.c,X509_cmp_time,https://github.com/openssl/openssl/commit/f48b83b4fb7d6689584cf25f61ca63a4891f5b11,https://github.com/openssl/openssl/commit/708cf593587e2fda67dae9782991ff9fccc781eb
openssl,CVE-2015-1790,crypto/pkcs7/pk7_doit.c,*PKCS7_dataDecode,https://github.com/openssl/openssl/commit/59302b600e8d5b77ef144e447bb046fd7ab72686,https://github.com/openssl/openssl/commit/f48b83b4fb7d6689584cf25f61ca63a4891f5b11
openssl,CVE-2015-1793,crypto/x509/x509_vfy.c,X509_verify_cert,https://github.com/openssl/openssl/commit/2aacec8f4a5ba1b365620a7b17fcce311ada93ad,https://github.com/openssl/openssl/commit/9cf315ef90d0cfeb8bb7a38873eea07a8f0dffec
openssl,CVE-2016-7054,crypto/evp/e_chacha20_poly1305.c,,https://github.com/openssl/openssl/commit/bf52165bda53524a267c784696bd074111a2f178,https://github.com/openssl/openssl/commit/a54aba531327285f64cf13a909bc129e9f9d5970
